,0
0,9.212100655691964
1,8.53211931501116
2,9.737260219029018
3,8.158833530970982
4,8.5328369140625
5,7.7532418387276785
6,8.619805908203125
7,7.5467912946428575
8,7.150129045758929
9,7.2072222028459825
10,7.427599225725446
11,6.9835366385323665
12,7.062774658203125
13,7.233851841517857
14,6.891943359375
15,7.366748046875
16,6.908812168666294
17,6.627216884068081
18,6.752787562779018
19,6.914750453404018
20,6.582538277762277
21,7.216573660714285
22,7.026134381975447
23,6.068773542131696
24,8.754515729631697
25,7.021826171875
26,6.862575857979911
27,6.106872122628348
28,6.512070138113839
29,6.042678397042411
30,8.846535818917411
31,6.63044913155692
32,6.448722185407366
33,6.830119105747768
34,6.363580322265625
35,6.406594412667411
36,6.259132167271205
37,7.190358625139509
38,6.181222098214286
